,CAN10_1,CAN11_1,CAN5_1,CAN6_1,CAN7_1,CAN8_1,CAN9_1,Year,State
124,14.201683568706102,158.32005370948468,139.33804881928174,10.327293133735655,53.91658193506299,80.87807194801677,21.522162095550456,2024,MS
125,14.176964235057419,160.12339637447153,140.2068904637048,10.46100870966911,54.15684585832058,80.75358418636034,21.88002241421492,2025,MS
127,13.817672196558362,158.14743612743916,159.19669519991922,7.727123856544494,42.665988286212084,59.01175396169226,32.07523054517806,2020,MT
128,13.739008364050333,159.7711572675966,160.8792908077438,7.99960012435913,42.761826862767336,58.458213347941644,32.174291931092746,2021,MT
129,13.660344476454574,161.39486511237922,162.46167507718,8.270581507682799,42.85765407877042,57.845179034769544,32.253417403995996,2022,MT
130,13.581680618521439,163.01857601208616,164.06044200540822,8.534147906303405,42.953639751020816,57.29095260004204,32.35937493741513,2023,MT
131,13.503016736575702,164.64228519070898,165.66069241184732,8.804768347740172,43.049518963135775,56.69372354249161,32.44389794394375,2024,MT
132,13.424352870167532,166.26599486414347,167.25324082349726,9.069526720046996,43.14549209186807,56.12836175560953,32.54451654814185,2025,MT
134,13.933725909454123,138.14850277495572,155.60979634309186,7.643304061889648,40.52877984307707,73.27302872923516,28.39036363139749,2020,NC
135,13.875421804282809,139.6336175351404,156.50889104565914,7.825282621383666,40.85788978375495,73.11844945587222,28.398441421240573,2021,NC
